Question,Answer
노인 틀니 지원 방법에 대해서 알고 싶어요. 어디에 문의해야 하나요?,국민건강보험공단(☎1577-1000)이나 보건복지상담센터(☎129)에 문의하시면 자세한 안내를 받을 수 있습니다.
과도하게 오랫동안 틀니를 착용하면 발생할 수 있는 문제점은 무엇인가요?,"장시간 틀니를 착용하면 잇몸이 붓고 통증이 생길 수 있습니다. 하루에 적당한 착용 시간은 8~12시간이며, 잠 잘 때는 빼주는 것이 좋습니다."
독거노인 응급안전 안심서비스 신청은 어떻게 하나요?,"사업대상자 추천 및 발굴 후 서비스 신청서를 제출하여 승인을 받고, 댁내장비 설치를 통해 서비스를 제공받을 수 있습니다."
응급안전 안심서비스는 어떤 장비를 설치하나요?,"응급안전 안심서비스를 통해 화재센서, 활동량감지기, 응급호출기, 게이트웨이, 출입문감지기 등을 설치합니다."
개발자 부착 시 응급호출기 누르면 어디로 연결되나요?,응급호출기의 버튼을 누르면 119(소방청)으로 전화연결 됩니다.
응급안전 안심서비스 대상에 장애인활동지원 수급자도 포함되나요?,"네, 단독거주 혹은 취약가구에 속하는 장애인활동지원 수급자도 서비스 대상에 포함됩니다. 단, 24시간 활동지원서비스를 받고 있는 장애인은 제외됩니다."
독거노인 응급안전 안심서비스에 대한 문의는 어디로 해야 하나요?,보건복지상담센터(☎129)로 문의하시면 됩니다.
독거노인 응급안전 안심서비스는 어떤 상황에 신속히 대처하기 위해 만들어졌나요?,독거노인과 장애인 가정에 발생할 수 있는 응급상황 시 신속한 대처를 위해 만들어진 서비스입니다.
기초생활수급자인 70살 독거어르신도 응급안전 안심서비스를 받을 수 있나요?,"네, 만 65세 이상 독거어르신 중 기초생활수급자라면 서비스 대상에 해당됩니다."
활동량감지기는 어디에 설치되나요?,"활동량감지기는 침실, 화장실, 거실 및 주방 등의 장소에 설치되어 활동량을 감지합니다."
응급안전 안심서비스는 갑작스러운 화재에도 대응할 수 있나요?,"네, 화재감지기가 연기를 감지하여 화재상황을 알리고, 이를 게이트웨이를 통해 119에 자동으로 신고합니다."
응급안전 안심서비스 설치를 위해 제출해야 하는 서류는 무엇인가요?,응급안전 안심서비스 신청을 위해서는 대상자 추천 및 발굴 과정을 거친 후 해당 서비스 신청서류를 제출해야 합니다.具体的인 서류 목록 및 자세한 절차는 보건복지상담센터로 문의하시면 안내받으실 수 있습니다.
기초연금제도의 대상이 되는 어르신은 어떤 조건을 만족해야 하나요?,"만 65세 이상이며, 소득인정액이 선정기준액(소득하위 70%) 이하인 어르신이 대상입니다."
기초연금을 온라인으로 신청하고 싶을 때 이용할 수 있는 웹사이트는 무엇인가요?,복지로(www.bokjiro.go.kr) 웹사이트를 통해 온라인으로 신청할 수 있습니다.
기초연금을 신청하기 위해 방문해야 하는 곳은 어디인가요?,전국 읍면동 주민센터(행정복지센터) 또는 국민연금공단 지사를 방문해 신청하면 됩니다.
기초연금 선정기준액은 어떻게 산정되나요?,어르신의 소득평가액과 재산의 소득환산액을 합산하여 소득인정액으로 산정됩니다.
기초연금 월 최대 지원 금액은 얼마인가요?,"단독가구는 월 최대 32만 3,180원, 부부가구는 월 최대 51만 7,080원입니다."
2023년부터 적용되는 기초연금 상시근로소득 공제 금액은 얼마인가요?,2023년 1월부터 108만 원을 공제한 후 30%를 추가 공제합니다.
기초연금 신청 시 언제부터 신청이 가능한가요?,만 65세가 되는 생일이 속하는 달의 1개월 전 초일부터 신청이 가능합니다.
기초연금 신청과 관련하여 문의할 수 있는 연락처는 어디인가요?,보건복지상담센터(☎129) 또는 국민연금공단 콜센터(☎1355)로 문의하실 수 있습니다.
현장 방문이 어려운 경우 어떻게 기초연금 신청을 할 수 있나요?,국민연금공단의 ‘찾아뵙는 서비스(☎1355)’를 신청하면 됩니다.
기초연금 수급 시 어떤 소득이 산정에서 제외되나요?,"일용근로소득, 공공일자리소득, 자활근로소득은 소득으로 산정에서 제외됩니다."
60세 이상 어르신 중 누가 노인 안 검진의 지원 대상인가요?,만 60세 이상 저소득층 어르신이 노인 안 검진의 지원 대상입니다.
노인 개안수술 지원 대상은 구체적으로 어떤 분들인가요?,"노인 개안수술 지원 대상은 만 60세 이상 기초생활수급자, 차상위계층, 한부모가족 어르신입니다."
노인 안 검진 시에 1차진단과 2차진단에서 각각 어떤 검사를 받게 되나요?,"노인 안 검진 시에 1차진단에서는 정밀 안저검사 1종을, 2차진단에서는 정밀 안저검사, 안압검사, 굴절검사 및 조절검사(안경 처방전 교부 포함), 각막 곡률검사 등 총 4종의 검사를 받게 됩니다."
개안수술비용의 본인부담금을 전액 지원받을 수 있는 질환은 무엇인가요?,"백내장, 망막질환 등 안질환자의 개안수술비용 본인부담금이 전액 지원됩니다."
노인 개안수술비 지원을 받지 못하는 경우는 어떤 경우인가요?,"개안수술과 관련 없는 질병 치료비, 간병비·상급병실료 등 비급여 항목이나 지원 결정 전에 발생한 진료비는 지원받지 못합니다."
노인 안 검진과 개안수술 신청을 어디에서 할 수 있나요?,시군구 및 보건소에 문의 후 신청할 수 있습니다.
개안수술 지원에 대해 문의하고 싶을 때 어디로 연락해야 하나요?,보건복지상담센터(☎129) 또는 한국실명예방재단(☎02-718-1102)으로 연락하면 문의하실 수 있습니다.
노인 개안수술 지원을 위한 신청 절차는 어떻게 되나요?,신청 절차에 관한 정보는 해당 지역의 시군구나 보건소에 문의하면 안내받을 수 있습니다.
노인 개안수술비 지원을 받으려면 어떤 조건을 충족해야 하나요?,"지원을 받으려면 만 60세 이상이면서 기초생활수급자, 차상위계층 또는 한부모가족 어르신이어야 합니다."
노인 안 검진 지원 서비스를 받으려면 어떻게 해야 하나요?,지원 서비스를 받기 위해서는 거주 지역의 시군구나 보건소에 문의하여 신청 절차를 밟아야 합니다.
"만약에 내가 55세 어르신이고, 4억 원 상당의 주택을 1채 가지고 있다면, 주택연금 신청 자격이 되나요?","네, 만 55세 이상이며 주택가격이 9억 원 이하인 경우 주택연금 신청 자격이 있습니다."
"제가 두 채의 집을 소유하고 있는데, 두 집의 총액이 8억 원입니다. 주택연금 신청이 가능한가요?","네, 다주택자라도 주택의 합산 가격이 9억 원 이하일 경우 주택연금 신청이 가능합니다."
"만약 내가 가진 두 채의 집 중 하나의 가격이 공시가격으로 9억 원이 넘는다면, 주택연금에 가입할 수 있나요?",9억 원을 초과하는 2주택 소유자도 3년 이내에 1주택을 처분한다는 조건으로 주택연금에 가입할 수 있습니다.
"70세 어르신이 3억 원 주택을 가지고 있다면, 매월 주택연금으로 얼마씩 받을 수 있나요?","집값 3억 원인 70세 어르신이 주택연금에 가입할 경우, 2023년 3월 1일 기준으로 매월 90만 1,000원을 수령할 수 있습니다."
주택연금을 신청하기 위해선 어디로 가야 하나요?,주택연금 신청은 한국주택금융공사에 방문하거나 온라인으로 신청하면 됩니다.
주택연금 가입자가 사망했을 때 배우자는 어떻게 해야 연금을 계속 받을 수 있나요?,"가입자가 사망한 경우 배우자는 6개월 이내에 채무를 인수하여 주택연금을 계속 이용할 수 있으며, 연금금액은 기존과 동일하게 지급됩니다."
"주택연금을 받는 도중 이사를 갈 경우, 주택연금 계약이 유지될 수 있나요?","이사 후에도 담보주택 변경 승인을 받으면 계약이 유지되며 새로운 주택으로 변경할 수 있지만, 신규 주택의 공시가격은 조건변경 승인일을 기준으로 9억 원 이하이거나 기존 주택 공시가격 보다 낮거나 같아야 합니다."
주택연금으로 받은 금액이 주택 가격을 넘어서면 어떻게 처리되나요?,"연금이 주택 가격을 초과해도, 부족분에 대해서는 상속인에게 별도로 청구되지 않으며, 정산절차를 통해 남는 금액은 상속인에게 돌아갑니다."
주택연금으로 받은 금액이 집값보다 적을 경우 상속인에게 어떤 혜택이 있는지 알려주세요.,"주택연금으로 받은 금액이 집값보다 적을 경우, 정산 절차를 통해 남은 부분은 상속인에게 돌아가게 됩니다."
"주택연금 신청하려고 합니다. 구체적으로 어떠한 서류가 필요한지, 그리고 어떻게 접수할 수 있는지 알려주세요.","주택연금 신청에 필요한 구체적인 서류는 한국주택금융공사에 문의하시면 안내받을 수 있고, 신청은 직접 방문 또는 온라인으로 접수할 수 있습니다."
"67세 되신 할아버지께서 임플란트 시술을 고려하고 계신데, 비용이 어느 정도 지원되나요?",만 65세 이상이신 경우 건강보험이 적용되어 평생 2개의 임플란트에 대해 본인부담률이 30%로 줄어듭니다.
"제 어머니께이 의료급여 1종 수급자신데, 치과 임플란트 비용을 어떻게 지원받나요?","의료급여 1종 수급자는 치과 임플란트 본인부담률이 10%로 적용되며, 해당 치과 병원이나 읍면동 주민센터에서 대상자 등록 신청을 하시면 됩니다."
"저는 차상위계층에 해당되는데, 임플란트 시술할 때 내야 하는 비용이 얼마인가요?","차상위계층에 속하시는 경우, 임플란트 시술에 대한 본인부담률은 10~20%로 조정되어 부담이 줄어듭니다."
혹시 임플란트 지원을 받기 위한 조건이 있나요?,"예, 만 65세 이상의 부분 무치악환자(일부 치아가 빠진 상태)에 한하여 지원이 가능하며, 치아가 완전히 없는 경우는 제외됩니다."
이미 부분틀니를 지원받았지만 임플란트를 추가로 하고 싶어요. 가능할까요?,"네, 부분틀니를 지원받았더라도 평생 2개의 임플란트 비용 지원은 가능합니다."
"할머니가 건강보험대상자인데, 임플란트를 할 때 어디에서 신청해야 하나요?","할머니가 건강보험대상자이시라면, 치과 병·의원이나 건강보험공단 지사에서 대상자 등록 신청을 하실 수 있습니다."
"의료급여 2종 수급자가 치과 임플란트를 받으면, 본인부담금은 어떻게 되나요?","의료급여 2종 수급자의 경우, 치과 임플란트 시술에 대해 본인부담률이 20%로 적용됩니다."
임플란트 비용 지원에 대해 문의를 하고 싶은데 어디로 연락해야 하나요?,임플란트 비용 지원과 관련된 문의는 국민건강보험공단(☎1577-1000) 또는 보건복지상담센터(☎129)로 하실 수 있습니다.
